Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),NAV,1D Change,NAV Date,52W High,52WH as on,52W Low,52WL as on,Number of Stocks,Expense Ratio,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
PGIM India Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,434.639,10.31,0.0029,14-Nov-25,10.42,29-Oct-25,8.37,28-Feb-25,89.0,0.65,0.0128,0.0128,0.0414,0.08869999999999999,0.07400000000000001,0.11939999999999999,-,-,-,-
Quant Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,1,9322.612,687.28,0.0007000000000000001,14-Nov-25,725.39,05-Dec-24,588.786,03-Mar-25,61.0,0.62,0.0097,0.0183,0.04650000000000001,0.0335,-0.0091,0.0014000000000000002,0.1202,0.1247,0.23800000000000002,0.1856
Samco Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,344.625,9.28,0.0043,14-Nov-25,10.12,11-Dec-24,8.79,03-Mar-25,125.0,0.78,0.0098,0.0022,-0.0232,0.0043,-0.0433,-0.0373,-,-,-,-
SBI Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,3,23986.247,17.941,0.0037,14-Nov-25,18.191,23-Jul-25,15.111,28-Feb-25,60.0,0.81,0.0097,0.0183,0.0297,0.054900000000000004,0.06,0.105,0.2076,0.1832,-,-
Sundaram Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,3,2927.978,437.821,0.0017000000000000001,14-Nov-25,444.735,29-Oct-25,358.372,28-Feb-25,72.0,0.93,0.0059,0.0177,0.0435,0.0827,0.0596,0.09970000000000001,0.19519999999999998,0.18600000000000003,0.2227,0.166
Tata Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,3214.012,15.398,0.0004,14-Nov-25,15.435,29-Oct-25,12.436,28-Feb-25,65.0,0.4,0.0147,0.0354,0.0559,0.0895,0.0392,0.060599999999999994,0.1353,-,-,-
TRUSTMF Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,258.089,10.66,0.004699999999999999,14-Nov-25,10.66,14-Nov-25,9.92,29-Aug-25,66.0,0.5,0.0172,0.038,0.0639,-,-,-,-,-,-,-
Union Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,1335.772,17.01,-0.0018,14-Nov-25,17.11,03-Nov-25,13.77,03-Mar-25,79.0,0.93,0.010700000000000001,0.0229,0.053899999999999997,0.0932,0.0461,0.0932,0.1827,-,-,-
UTI Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,1714.303,10.644,-0.0002,14-Nov-25,10.747,29-Oct-25,9.963,22-May-25,75.0,0.43,0.0079,0.0181,0.0524,-,-,-,-,-,-,-
WhiteOak Capital Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,2638.718,16.27,0.0021,14-Nov-25,16.27,14-Nov-25,12.847,28-Feb-25,170.0,0.51,0.014199999999999999,0.0353,0.061200000000000004,0.11720000000000001,0.0895,0.1441,0.2565,-,-,-
